"event","top_inning","batter_name","date"
"Strikeout","Y","Dee Gordon","2012-06-01"
"Strikeout","Y","Dee Gordon","2012-06-01"
"Double","N","Todd Helton","2012-06-01"
"Groundout","N","Jordan Pacheco","2012-06-01"
"Home Run","N","Wilin Rosario","2012-06-01"
"Walk","N","DJ LeMahieu","2012-06-01"
"Strikeout","N","Adam Ottavino","2012-06-01"
"Strikeout","N","","2012-06-01"
"Single","N","Dexter Fowler","2012-06-01"
"Single","N","Marco Scutaro","2012-06-01"
"Groundout","N","Carlos Gonzalez","2012-06-01"
"Single","Y","Elian Herrera","2012-06-01"
"Single","Y","Elian Herrera","2012-06-01"
"Grounded Into DP","Y","Tony Gwynn","2012-06-01"
"Grounded Into DP","Y","Tony Gwynn","2012-06-01"
"Grounded Into DP","Y","Tony GwynnJr.","2012-06-01"
"Grounded Into DP","Y","Tony GwynnJr.","2012-06-01"
"Double","Y","Ivan De Jesus","2012-06-01"
"Double","Y","Ivan De Jesus","2012-06-01"
"Double","Y","Ivan De JesusJr.","2012-06-01"
"Double","Y","Ivan De JesusJr.","2012-06-01"
"Strikeout","Y","Andre Ethier","2012-06-01"
"Strikeout","Y","Andre Ethier","2012-06-01"
"Single","N","Michael Cuddyer","2012-06-01"
"Walk","N","Todd Helton","2012-06-01"
"Single","N","Jordan Pacheco","2012-06-01"
"Forceout","N","Wilin Rosario","2012-06-01"
"Single","N","DJ LeMahieu","2012-06-01"
"Forceout","N","Eric YoungJr.","2012-06-01"
"Forceout","N","Eric Young","2012-06-01"
"Single","N","Dexter Fowler","2012-06-01"
"Flyout","N","Marco Scutaro","2012-06-01"
"Double","Y","Jerry Hairston","2012-06-01"
"Double","Y","Jerry HairstonJr.","2012-06-01"
"Groundout","Y","Scott Van Slyke","2012-06-01"
"Single","Y","Alex Castellanos","2012-06-01"
"Forceout","Y","Matt Treanor","2012-06-01"
"Pop Out","Y","James Loney","2012-06-01"
"Home Run","N","Christopher Nelson","2012-06-01"
"Home Run","N","Christopher Nelson","2012-06-01"
"Home Run","N","Chris Nelson","2012-06-01"
"Home Run","N","Chris Nelson","2012-06-01"
"Home Run","N","Michael Cuddyer","2012-06-01"
"Home Run","N","Michael Cuddyer","2012-06-01"
"Groundout","N","Tyler Colvin","2012-06-01"
"Groundout","N","Tyler Colvin","2012-06-01"
"Flyout","N","Jordan Pacheco","2012-06-01"
"Flyout","N","Jordan Pacheco","2012-06-01"
"Strikeout","N","Wilin Rosario","2012-06-01"
"Strikeout","N","Wilin Rosario","2012-06-01"
"Groundout","Y","Elian Herrera","2012-06-01"
"Double","Y","Tony Gwynn","2012-06-01"
"Double","Y","Tony GwynnJr.","2012-06-01"
"Lineout","Y","Ivan De Jesus","2012-06-01"
"Lineout","Y","Ivan De JesusJr.","2012-06-01"
"Flyout","Y","Adam Kennedy","2012-06-01"
"Single","Y","Jose Reyes","2012-06-01"
"Single","Y","Omar Infante","2012-06-01"
"Strikeout","Y","Hanley Ramirez","2012-06-01"
"Double","Y","Michael Stanton","2012-06-01"
"Double","Y","Mike Stanton","2012-06-01"
"Double","Y","Giancarlo Stanton","2012-06-01"
"Strikeout","Y","Logan Morrison","2012-06-01"
"Groundout","N","Jimmy Rollins","2012-06-01"
"Single","N","Placido Polanco","2012-06-01"
"Single","N","Hunter Pence","2012-06-01"
"Single","N","Carlos Ruiz","2012-06-01"
"Pop Out","N","Ty Wigginton","2012-06-01"
"Single","N","Hector Luna","2012-06-01"
"Pop Out","N","John Mayberry","2012-06-01"
"Pop Out","N","John MayberryJr.","2012-06-01"
"Groundout","Y","Bryan Petersen","2012-06-01"
"Groundout","Y","John Buck","2012-06-01"
"Single","Y","Chris Coghlan","2012-06-01"
"Groundout","Y","Mark Buehrle","2012-06-01"
"Flyout","N","Freddy Galvis","2012-06-01"
"Strikeout","N","Kyle Kendrick","2012-06-01"
"Single","N","Jimmy Rollins","2012-06-01"
"Single","N","Placido Polanco","2012-06-01"
"Forceout","N","Hunter Pence","2012-06-01"
"Double","Y","Jose Reyes","2012-06-01"
"Sac Bunt","Y","Omar Infante","2012-06-01"
"Pop Out","Y","Hanley Ramirez","2012-06-01"
"Walk","Y","Michael Stanton","2012-06-01"
"Walk","Y","Mike Stanton","2012-06-01"
"Walk","Y","Giancarlo Stanton","2012-06-01"
"Grounded Into DP","Y","Logan Morrison","2012-06-01"
"Double","N","Carlos Ruiz","2012-06-01"
"Groundout","N","Ty Wigginton","2012-06-01"
"Flyout","N","Hector Luna","2012-06-01"
"Flyout","N","John Mayberry","2012-06-01"
"Flyout","N","John MayberryJr.","2012-06-01"
"Hit By Pitch","Y","Bryan Petersen","2012-06-01"
"Flyout","Y","John Buck","2012-06-01"
"Walk","Y","Chris Coghlan","2012-06-01"
"Forceout","Y","Mark Buehrle","2012-06-01"
"Walk","Y","Jose Reyes","2012-06-01"
"Lineout","Y","Omar Infante","2012-06-01"
"Groundout","N","Freddy Galvis","2012-06-01"
"Strikeout","N","Kyle Kendrick","2012-06-01"
"Groundout","N","Jimmy Rollins","2012-06-01"
"Double","Y","Hanley Ramirez","2012-06-01"
"Strikeout","Y","Michael Stanton","2012-06-01"
"Strikeout","Y","Mike Stanton","2012-06-01"
"Strikeout","Y","Giancarlo Stanton","2012-06-01"
"Groundout","Y","Logan Morrison","2012-06-01"
"Pop Out","Y","Bryan Petersen","2012-06-01"
"Double","N","Placido Polanco","2012-06-01"
"Home Run","N","Hunter Pence","2012-06-01"
"Single","N","Carlos Ruiz","2012-06-01"
"Single","N","Ty Wigginton","2012-06-01"
"Forceout","N","Hector Luna","2012-06-01"
"Grounded Into DP","N","John Mayberry","2012-06-01"
"Grounded Into DP","N","John MayberryJr.","2012-06-01"
